id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,,,
11,,Man of the gold medal,Kinmedaru otoko,?????,2016, Teruyoshi Uchimura,Hakuhodo DY Music & Pictures/ Digital Frontier,,Yamansahi Prefecture,????????? (Midorigaoka Sports Park),35.6816867,138.5593598,JL-DB,22/10/2016,,,No,,,,
12,,Blue Swallow,Ao tsubame,??,2005,Yoon Jong-chan,cineline 2,,Nagano Prefecture,???? (Shiono Shrine) ,35.1866985,137.0499507,JL-DB,29/12/2005,Korea,,No,,,,
13,,Blue Swallow,Ao tsubame,??,2005,Yoon Jong-chan,cineline 2,,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium ),36.2501,137.979196,JL-DB,29/12/2006,Korea,,No,,,,
14,,That electric light,Ano dent?,????,2014,Kiko Tsuruoka,Graduate School of Image Sciences/ Tokyo University of the Arts,,Nagano Prefecture,???? (Yagisawa Station),36.104077,137.693029,JL-DB,08/03/2014,,,No,,,,
15,,That electric light,Ano dent?,????,2014,Kiko Tsuruoka,Graduate School of Image Sciences/ Tokyo University of the Arts,,Nagano Prefecture,???? (Ueda eegaki),24.9403881,121.3347653,JL-DB,08/03/2014,,,No,,,,
16,,Tora's Pure Love,Otoko wa tsuraiyo torajir? junjy?shish?,??????????????          ???????????????,1976,Yoji Yamada,Shôchiku Eiga,,Nagano Prefecture,"?????????? (Kitamuki kannon temple and its approach) Japan, ?386-1431 Nagano Prefecture, Ueda, Besshoonsen, 1656",36.35056,138.156769,JL-DB,25/12/1976,,,No,,,,
17,,Good morning,Oy?,???,2002,Ikuo Sekimoto,Shôchiku Eiga,,Nagano Prefecture,????? (Old missionary building),35.720753,139.720608,JL-DB,11/05/2002,,,No,,,,
18,,Good morning,Oy?,???,2002,Ikuo Sekimoto,Shôchiku Eiga,,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium ),36.2501,137.979196,JL-DB,11/05/2002,,,No,,,,
19,,Good morning,Oy?,???,2002,Ikuo Sekimoto,Shôchiku Eiga,,Nagano Prefecture,???? (Karasawa falls),35.9125991,137.6517869,JL-DB,11/05/2002,,,No,,,,
20,,The Hidden Fortresses The LAST PRINCESS,Kakushi toride no sanakunin,????????THE LAST PRINCESS ???????????????,2008,Higuchi Shinji,Chukyo TV Broadcasting Company (CTV)/ Dentsu/ J Storm/ Nippon Television Network (NTV)/ Shogakukan/ Toho Company/ Yomiuri Shimbun/ The Yomiuri Telecasting Corporation (YTV),,Nagano Prefecture,???? (Karasawa falls),35.9125991,137.6517869,JL-DB,10/05/2008,,,No,,,,
21,,The Hidden Fortresses The LAST PRINCESS,Kakushi toride no sanakunin,????????THE LAST PRINCESS ???????????????,2008,Higuchi Shinji,Chukyo TV Broadcasting Company (CTV)/ Dentsu/ J Storm/ Nippon Television Network (NTV)/ Shogakukan/ Toho Company/ Yomiuri Shimbun/ The Yomiuri Telecasting Corporation (YTV),,Nagano Prefecture,??? (Konnosu),36.074981,139.504183,JL-DB,10/05/2008,,,No,,,,
22,,School ghost story 4,Gakk? no kaidan,?????4,1995,Hirayama Hideyuk,--,,Nagano Prefecture,??????? (Former Nishida elementary school),36.351855,138.176116,JL-DB,08/07/1995,,,No,,,,
23,,Make a school,Gakk? no kaidan,???????,2011,Kiyama Seijiro,School corporation Senshu University,,Nagano Prefecture,????? (Old missionary building),35.720753,139.720608,JL-DB,19/02/2011,,,No,,,,
24,,As you are,Kimi no mamade,?????,2003,Kosuke Suzuki,Maru Masahiro,,Nagano Prefecture,??????? (Former Nishida elementary school),36.351855,138.176116,JL-DB,--,,,No,,,,
25,,SamuLife,Samuraifu,?????,2015,Takeshi Moriya,Yurie Morimoto,,Nagano Prefecture,???? (Sugadaira ranch),36.5385492,138.3725688,JL-DB,07/02/2015,,,No,,,,
26,,"Goodbye, Kuro - The story of the happiest dog in the world ~","Sayonara, kuro~seikai-shiawasena inu no monogatari~",??????? ????????????,2003,Ruo Matsuoka,Cine Cannon/ Dentsu/ Satellite/ Theater Happinet Pictures/ Artist Film,,Nagano Prefecture,???? (North elementary school),34.78231725,135.6255962,JL-DB,05/06/2003,,,No,,,,
27,,Signal: Luca on mondays,Shiganaru getsuyoubi no ruka,???????????,2012,Masaaki Taniguchi,TV Asahi/ Sony Music Entertainment/ Ten Carat Hakuhodo Casting & Entertainment/ Gentosha/ Horipro,,Nagano Prefecture,???? (Ueda eegaki),24.9403881,121.3347653,JL-DB,09/06/2012,,,No,,,,
28,,Yamenko on the last day,Suguruhi no yamaneko,?????????,2015,Kiko Tsuruoka,PFF Partners ( Pia / Horipro / Nikkatsu )/ Amuse/ Koto Productions/ Toppan Printing/ Eight and Half Affiliated Works,,Nagano Prefecture,???? (Shiono Shrine) ,35.1866985,137.0499507,JL-DB,19/09/2015,,,No,,,,
29,,A bolt from the blue,Seiten no hekireki,?????,2014,One theater company,Toho Company/ Dentsu/ Amuse/ Gentosha/ Ohta Production/ Creative Office Cue/ Nippon Shuppan Hanbai (Nippan) K.K./ KDDI Corporation/ GyaO/ Toho Pictures,,Nagano Prefecture,???? (Ueda eegaki),24.9403881,121.3347653,JL-DB,24/05/2014,,,No,,,,
30,,Fatal frame,Rei zero,????,2014,Mari Asato,Kadokawa,,Nagano Prefecture,JA????????????? (JA Shinshu Ueda Shioda Higashiyama Tourist Farm),36.3556274,138.2358397,JL-DB,26/09/2014,,,No,,,,
31,,Fatal frame,Rei zero,????,2014,Mari Asato,Kadokawa,,Nagano Prefecture,???? (Shiono Shrine) ,35.1866985,137.0499507,JL-DB,26/09/2014,,,No,,,,
32,,Fatal frame,Rei zero,????,2014,Mari Asato,Kadokawa,,Nagano Prefecture,??????? (Former Nishida elementary school),36.351855,138.176116,JL-DB,26/09/2014,,,No,,,,
33,,Zero Focus,Zero no shoten,????? ??????????,2009,Isshin Inudo,Asahi Broadcasting Corporation (ABC)/ Asahi Shimbun/ Dentsu/ FLaMmE/ IMJ Entertainment/ Nippon Shuppan Hanbai (Nippan) K.K./ TV Asahi/ Toho Company/ Tokyo FM Broadcasting Co./ Tsutaya Group/ Yahoo Japan,,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium ),36.2501,137.979196,JL-DB,14/11/2009,,,No,,,,
34,,,Tashikana a shibu mina kamura haruji,????????????????,2012,Yuji Nakae,,,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium ),36.2501,137.979196,JL-DB,12/05/2012,,,No,,,,
35,,Zero Focus,Zero no shoten,????? ??????????,1961,Yoshitaro Nomura,Shochiku company,,Ishikawa Prefecture,???? (Wakura onsen),37.07471,136.925793,IMDB,19/02/1961,,,No,,,,
36,,Zero Focus,Zero no shoten,????? ??????????,1961,Yoshitaro Nomura,Shochiku company,,Ishikawa Prefecture,??? (Tsurugi city),36.4522248,136.623792,IMDB,19/02/1961,,,No,,,,
37,,Zero Focus,Zero no shoten,????? ??????????,1961,Yoshitaro Nomura,Shochiku company,,Ishikawa Prefecture,??? (Togi city),34.6639729,135.5058633,IMDB,19/02/1961,,,No,,,,
38,,Table Tennis Hot Spring,Takkyuu onsen,???? (?????????),1998,Yamakawa Motohara,Daiei/ Nippon Television Network/ Hakuhodo/ Japan Publishing Sales ,,Nagano Prefecture,??????? (Former Nishida elementary school),36.351855,138.176116,JL-DB,16/05/1998,,,No,,,,
39,,Table Tennis Hot Spring,Takkyuu onsen,???? (?????????),1998,Yamakawa Motohara,Daiei/ Nippon Television Network/ Hakuhodo/ Japan Publishing Sales ,,Nagano Prefecture,"?????????? (Kitamuki kannon temple and its approach) Japan, ?386-1431 Nagano Prefecture, Ueda, Besshoonsen, 1656",36.35056,138.156769,JL-DB,16/05/1999,,,No,,,,
40,,Even if the world is over,Tatoe seikai ga owattemo,???????????,2007,Teruo Noguchi,Adnes,,Nagano Prefecture,???? (Yagisawa Station),36.104077,137.693029,JL-DB,25/08/2007,,,No,,,,
41,,Even if the world is over,Tatoe seikai ga owattemo,???????????,2007,Teruo Noguchi,Adnes,,Nagano Prefecture,JA????????????? (JA Shinshu Ueda Shioda Higashiyama Tourist Farm),36.3556274,138.2358397,JL-DB,25/08/2007,,,No,,,,
42,,Tokyo girl,Tôkyô shôjo,???? ????????????,2008,Kazuya Konaka,BS-i/ Cinema drive,,Nagano Prefecture,????? (Old missionary building),35.720753,139.720608,JL-DB,23/02/2008,,,No,,,,
43,,Summer wind,Natsukaze,?? (????),2002,Kosuke Suzuki,,,Nagano Prefecture,???? (Yagisawa Station),36.104077,137.693029,JL-DB,07/12/2002,,,No,,,,
44,,Summer wind,Natsukaze,?? (????),2002,Kosuke Suzuki,,,Nagano Prefecture,???? (North elementary school),34.78231725,135.6255962,JL-DB,07/12/2002,,,No,,,,
45,,Nana and Kaoru Chapter 2,Nana to kaoru dai ni sho,??????????,2012,Shimizu thick,Bop,,Nagano Prefecture,???? (Yagisawa Station),36.104077,137.693029,JL-DB,08/09/2012,,,No,,,,
46,,Nana and Kaoru Chapter 2,Nana to kaoru dai ni sho,??????????,2012,Shimizu thick,Bop,,Nagano Prefecture,???? (North elementary school),34.78231725,135.6255962,JL-DB,08/10/2012,,,No,,,,
47,,The Ballad of Narayama,Narayama bushikou,???? (???????? ),1983,Imamura Shohei,Toei Company,,Nagano Prefecture,??? (Konnosu),36.074981,139.504183,JL-DB/ IMDB,29/04/1983,,,No,,,,
48,,The Ballad of Narayama,Narayama bushikou,???? (???????? ),1983,Imamura Shohei,Toei Company,,Nagano Prefecture,??? (Misato mura),24.28133,116.12828,JL-DB/ IMDB,29/04/1983,,,No,,,,
49,,The Ballad of Narayama,Narayama bushikou,???? (???????? ),1983,Imamura Shohei,Toei Company,,Niigata Prefecture,??? (Niigata city),37.906599,139.037239,JL-DB/ IMDB,29/04/1983,,,No,,,,
50,,The Ballad of Narayama,Narayama bushikou,???? (???????? ),1983,Imamura Shohei,Toei Company,,Niigata Prefecture,???? (Itoigawa city),37.01423,137.873045,JL-DB/ IMDB,29/04/1983,,,No,,,,
51,,The Professor's Beloved Equation,Hakase no aishita suushiki,???????????????????????,2006,Takashi Koizumi,Asmik Ace Entertainment/ Hakuhodo DY Media Partners/ Imagica/ Shinchosha Company/ Sumitomo Corporation/ Tokyu Recreation,,Nagano Prefecture,???? (Karasawa falls),35.9125991,137.6517869,JL-DB/ IMDB,21/01/2006,,,No,"$5,000,000",,,
52,,The Professor's Beloved Equation,Hakase no aishita suushiki,???????????????????????,2006,Takashi Koizumi,Asmik Ace Entertainment/ Hakuhodo DY Media Partners/ Imagica/ Shinchosha Company/ Sumitomo Corporation/ Tokyu Recreation,,Nagano Prefecture,JA????????????? (JA Shinshu Ueda Shioda Higashiyama Tourist Farm),36.3556274,138.2358397,JL-DB/ IMDB,21/01/2006,,,No,"$5,000,000",,,
53,,The only son,Hitori musuko,???? ????????,1936,Yasujiro Ozu,Shôchiku Eiga,,Nagano Prefecture,??????? (Former Nishida elementary school),36.351855,138.176116,JL-DB,15/09/1936,,,No,,,,
54,,Maria-sama ga miteru,Maria-sama ga miteru,???????? ???????????,2010,Kotaro Terauchi,Jolly Roger,,Nagano Prefecture,????? (Old missionary building),35.720753,139.720608,JL-DB,06/11/2010,,,No,,,,
55,,Never give up,Yasei no shoumei,????? (?????????),1978,Junya Sato,Kadokawa Haruki Jimusho/ Kadokawa Productions,,Nagano Prefecture,???? (Karasawa falls),35.9125991,137.6517869,JL-DB/ IMDB,7/10/1978,,,No,,,,
56,,Never give up,Yasei no shoumei,????? (?????????),1978,Junya Sato,Kadokawa Haruki Jimusho/ Kadokawa Productions,,Aomori Prefecture,??? (Hachinoe city),40.5122839,141.4883986,JL-DB/ IMDB,7/10/1978,,,No,,,,
57,,Never give up,Yasei no shoumei,????? (?????????),1978,Junya Sato,Kadokawa Haruki Jimusho/ Kadokawa Productions,,Tokyo Prefecture,?????? (Seinan Gakuin University),33.5849907,130.3549346,JL-DB/ IMDB,7/10/1978,,,No,,,,
58,,The story of Yodogawa Ch?haru Kobe Hideo Sinara,Yodogawa ch?haru monogatari kobe hen sainara,???????????????,2000,Nobuhiko Obayashi,Kenji Takeichi & Kyoko Obayashi,,Nagano Prefecture,????? (Old missionary building),35.720753,139.720608,JL-DB,30/09/2000,,,No,,,,
59,,The story of Yodogawa Ch?haru Kobe Hideo Sinara,Yodogawa ch?haru monogatari kobe hen sainara,???????????????,2000,Nobuhiko Obayashi,"Kenji Takeichi , Kyoko Obayashi",,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium ),36.2501,137.979196,JL-DB,30/09/2001,,,No,,,,
60,,ROUND1,Round1,ROUND1,2002,Daiki Yamada,Asmik Ace Entertainment/ Dentsu/ Kadokawa Shoten Publishing Co./ Nippon Television Network Corp,,Nagano Prefecture,"?????????? (Kitamuki kannon temple and its approach) Japan, ?386-1431 Nagano Prefecture, Ueda, Besshoonsen, 1656",36.35056,138.156769,JL-DB & http://www.allmovie.com/movie/round-1-v280371,17/11/2002 (Pusan film festival screening)*,,,No,,,,
61,,The Last Game: Waseda vs. Keio,Rasuto g?mu saigo no s?keisen,?????? ??????,2008,Seijir? K?yama,Li Feng & Ikuo Aita & Ishii Akira,,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium),36.2501,137.979196,JL-DB & http://eiga.com/movie/53567/,15/05/2008,,,No,,,,
62,,Lost Harmony,Rosuto hamonii,?????????,2011,Toki Yoshimasa,Asatsu-DK/ Cross Media/ Mediba,,Nagano Prefecture,???? (Yagisawa Station),36.104077,137.693029,JL-DB/ IMDB,03/12/2011,,,No,,,,
63,,Lost harmony,Rosuto hamonii,?????????,2011,Toki Yoshimasa,Asatsu-DK/ Cross Media/ Mediba,,Nagano Prefecture,??????????? ???????? Petit Hotel · Zontak (Forest Hall) ,35.0612335,135.7441662,JL-DB/ IMDB,03/12/2011,,,No,,,,
64,,I want to become a shellfish,Watashi wa kaininaritai,???????? ?????????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Nagano Prefecture,??????? (Former Nishida elementary school),36.351855,138.176116,JL-DB,22/11/2008,,,No,,,,
65,,I want to become a shellfish,Watashi wa kaininaritai,???????? ?????????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Nagano Prefecture,???? (Karasawa falls),35.9125991,137.6517869,JL-DB,22/11/2008,,,No,,,,
66,,Christmas on July 24 street,Shichigatsu nijy?yokka t?ri no kurisumasu,??24?????????,2006,Masanori Murakami,Toho/ TV Asahi/ Stardust Pictures/ Hakuhodo DY Media Partners/ CORE INTERNATIONAL/ Asahi Broadcasting Corporation / menu-tele,,Nagano Prefecture,???????? ?? (Shinshu University Faculty of Textile Studies Auditorium),36.2501,137.979196,JL-DB,03/11/2006,,,No,,,,
67,,Saagasam,Saagasam,Saagasam,2016,Arun Raj Varma,Staar movies,,Nagano Prefecture,????? (National Treasures Matsumoto Castle),36.238666,137.9690221,JL-DB,05/02/2016,India,,No,,,,
68,,Saagasam,Saagasam,Saagasam,2016,Arun Raj Varma,Staar movies,,Nagano Prefecture,???????  (Agata forest park),36.2307284,137.9838768,JL-DB,05/02/2016,India,,No,,,,
69,,Birthday card,B?sud?k?do,????????,2016,Yasuhiro Yoshida,Toei Company,,Nagano Prefecture,????? (Kirigamine Plateau),36.1,138.1666667,IMDB,22/09/2016,,,No,,,,
70,,"Funuke Show Some Love, You Losers!","Funukedomo, kanashimi no ai wo misero",??????????????? ???????????????????,2007,Daihachi Yoshida,Amuse Soft Entertainment/ Cinema Investment/ Independent Film Fund/ Japan Arts Fund/ Monster Film/ Phantom Film/ Sony Music Entertainment/ TYO Productions,,Ishikawa Prefecture,???????????(Countryside Scenery (Machinomachi Tsunenari)),37.4039,137.086268,IMDB,07/07/2007,,,No,,,,
71,,"Funuke Show Some Love, You Losers!","Funukedomo, kanashimi no ai wo misero",??????????????? ???????????????????,2007,Daihachi Yoshida,Amuse Soft Entertainment/ Cinema Investment/ Independent Film Fund/ Japan Arts Fund/ Monster Film/ Phantom Film/ Sony Music Entertainment/ TYO Productions,,Ishikawa Prefecture,????????)  (Domestic ? (Machino-cho East)),37.400121,137.09588,IMDB,07/07/2007,,,No,,,,
72,,"Funuke Show Some Love, You Losers!","Funukedomo, kanashimi no ai wo misero",??????????????? ???????????????????,2007,Daihachi Yoshida,Amuse Soft Entertainment/ Cinema Investment/ Independent Film Fund/ Japan Arts Fund/ Monster Film/ Phantom Film/ Sony Music Entertainment/ TYO Productions,,Ishikawa Prefecture,????????) (Family ? (Machino-cho East)),37.400121,137.09588,IMDB,07/07/2007,,,No,,,,
73,,Tsuribaka nisshi 17,Tsuribakanisshi 17 ato wa noto nare hama to nare!,??????17??????????????,2006,Yuzo Asahara,Mitsuo Sejima & Hiroshi Fukasawa,,Ishikawa Prefecture,???? (iroha bridge),35.1054666,136.8776841,JL-DB,05/08/2006,,,No,,,,
74,,Tsuribaka nisshi 18,Tsuribakanisshi 17 ato wa noto nare hama to nare!,??????17??????????????,2006,Yuzo Asahara,Mitsuo Sejima & Hiroshi Fukasawa,,Ishikawa Prefecture,???? (Wajima Morning Market),37.396789,136.901057,JL-DB,05/08/2006,,,No,,,,
75,,Tsuribaka nisshi 19,Tsuribakanisshi 17 ato wa noto nare hama to nare!,??????17??????????????,2006,Yuzo Asahara,Mitsuo Sejima & Hiroshi Fukasawa,,Ishikawa Prefecture,???? (Sumiyoshi Shrine),37.4876331,139.9103258,JL-DB,05/08/2006,,,No,,,,
76,,Tsuribaka nisshi 20,Tsuribakanisshi 17 ato wa noto nare hama to nare!,??????17??????????????,2006,Yuzo Asahara,Mitsuo Sejima & Hiroshi Fukasawa,,Ishikawa Prefecture,???????????? (Ohsaki Urushi Store),37.396392,136.897043,JL-DB,05/08/2006,,,No,,,,
77,,Tsuribaka nisshi 21,Tsuribakanisshi 17 ato wa noto nare hama to nare!,??????17??????????????,2006,Yuzo Asahara,Mitsuo Sejima & Hiroshi Fukasawa,,Ishikawa Prefecture,??? (Kenrokuen),36.5625028,136.662656,JL-DB,05/08/2006,,,No,,,,
78,,Tsuribaka nisshi 22,Tsuribakanisshi 17 ato wa noto nare hama to nare!,??????17??????????????,2006,Yuzo Asahara,Mitsuo Sejima & Hiroshi Fukasawa,,Ishikawa Prefecture,"??21????? (21st Century Museum of Contemporary Art, Kanazawa)",36.560879,136.65815,JL-DB,05/08/2006,,,No,,,,
79,,Good mornining Evian!,Gumm? ebian!,?????????,2012,Yamamoto turu,Japan publishing sales/ amuse soft entertainment/ showgate/ Asmik Ace/ TBS service/ Takuji Create/ Dub/ Clay/ Hokkaido Terebi/ CREATIVE OFFICE CUE/ Lawson ,,Aichi-Ken Prefecture,????? (Osu shopping street ),35.1589928,136.9033807,JL-DB,15/12/2012,,,No,,,,
80,,Goodbye Debussy,Sayonara dobyusshi,??????????,2013,Go Riju,Tea and entertainment,,Aichi-Ken Prefecture,??????  (Oasis 21),35.1710741,136.9095718,JL-DB,26/01/2013,,,No,,,,
81,,The apology king,Shazai no ?sama,????? ???????????,2013,Nobuo Mizuta,Nippon Television Network/ Toho/ Yomiuri Telecasting/ bop/ Dentsu/ Yomiuri Shimbun/ adult plan/ Sapporo Television Broadcasting Co/ Miyagi Television Broadcasting/Shizuoka Daiichi Television/ Ch?ky? Television Broadcasting/ Hiroshima Television Broadcasting/ Fukuoka Broadcasting,,Aichi-Ken Prefecture,?????? (Nagoya city hall),35.1814375,136.9064202,JL-DB,28/09/2013,,,No,,,,
82,,Strawberry night,Sutorober? naito,?????????,2013,Yuichi Sato,Fuji Television Network,,Aichi-Ken Prefecture,?? (Road),35.1814375,136.9064202,JL-DB,26/01/2013,,,No,,,,
83,,Gamera the brave,Ch?sama y?shatachi gamera,???????????? ??????????? ????,2006,Ryuta Tazaki,Kadokawa Daiei Pictures Inc./ Shochiku Company,,Aichi-Ken Prefecture,???????? (central park),35.1730339,136.9081559,JL-DB/ IMDB,29/04/2006,,,No,,,,
84,,Raise the Castle!,Chikuj?seyo!,????! ????????!?,2005,Yo Kohatsu,Heisei Project/ Aichi Institute of Technology/ Soy Sauce Entertainment,,Aichi-Ken Prefecture,???? (Nagoya Castle),35.185531,136.899545,JL-DB/ IMDB,20/06/2009,,,No,,,,
85,,HEBRING Dragon road adventure,Heburingu sh?ry?d? adobench?,HEBRING ??? ???????  (???????? ????????????),2015,Andi Martin,"	CTV MID ENJIN",,Aichi-Ken Prefecture,?????? (Hisayodo Odori Park),35.1763078,136.9079305,JL-DB,--,,,Yes,,,,
86,,HEBRING Dragon road adventure,Heburingu sh?ry?d? adobench?,HEBRING ??? ???????  (???????? ????????????),2015,Andi Martin,"	CTV MID ENJIN",,Aichi-Ken Prefecture,???? (Nagoya Castle),35.185531,136.899545,JL-DB,--,,,Yes,,,,
87,,HEBRING Dragon road adventure,Heburingu sh?ry?d? adobench?,HEBRING ??? ???????  (???????? ????????????),2015,Andi Martin,"	CTV MID ENJIN",,Aichi-Ken Prefecture,????? (Osu shopping street ),34.64588415,135.5083605,JL-DB,--,,,Yes,,,,
88,,Shield of Straw,Wara no tate,????(?????),2013,Takashi Miike,Nippon Television Network (NTV)/ Warner Bros./ Oriental Light and Magic (OLM)/ Kôdansha/ Yahoo Japan/ East Japan Marketing & Communications Inc./ Yomiuri Telecasting Corporation (YTV)/ Sapporo Television/ Broadcasting Company/ Miyagi Television Broadcasting/ Shizuoka Daiichi Television/ Chukyo TV Broadcasting Company (CTV)/ Hiroshima Telecasting (HTV)/ Fukuoka Broadcasting System (FBS),,Aichi-Ken Prefecture,?? (Road),35.1814375,136.9064202,,26/04/2013,,,No,,,,
89,,Shuriken Sentai Ninninger the Movie: The Dinosaur Lord's Splendid Ninja Scroll!,Shuriken sentai ninninj?za m?b? ky?ry? tonosama appare ninb?ch?,?????????????????????????  (???????????????? ?????? ?????????????????????!?,2015,Shôjirô Nakazawa,Toei Company,,Shiga Prefecture,??? (Hikone castle),35.276452,136.251846,JL-DB/ Wikipedia,08/08/2015,,,Yes,,,,
90,,Shuriken Sentai Ninninger the Movie: The Dinosaur Lord's Splendid Ninja Scroll!,Shuriken sentai ninninj?za m?b? ky?ry? tonosama appare ninb?ch?,?????????????????????????  (???????????????? ?????? ?????????????????????!?,2015,Shôjirô Nakazawa,Toei Company,,Shiga Prefecture,??????? (Koga no Sato Ninjutsu village),34.9197,136.207457,JL-DB/ Wikipedia,08/08/2015,,,Yes,,,,
91,,Shuriken Sentai Ninninger the Movie: The Dinosaur Lord's Splendid Ninja Scroll!,Shuriken sentai ninninj?za m?b? ky?ry? tonosama appare ninb?ch?,?????????????????????????  (???????????????? ?????? ?????????????????????!?,2015,Shôjirô Nakazawa,Toei Company,,Shiga Prefecture,???? (Aburahi shrine),34.8757915,136.2005346,JL-DB/ Wikipedia,08/08/2015,,,Yes,,,,
92,,Chihayafuru,Chihayafuru,?????,2016,Norihiro Koizumi,Robot,,Shiga Prefecture,???? (Omi jinjou shrine),35.0321453,135.8521915,JL-DB/ Wikipedia,19/03/2016,,,No,,,,
93,,Chihayafuru,Chihayafuru,?????,2016,Norihiro Koizumi,Robot,,Shiga Prefecture,????? (Ogawa Onsen),35.096702,135.894377,JL-DB/ Wikipedia,19/03/2016,,,No,,,,
94,,Beyond Outrage,Autoreiji biyondo,?????? ????,2012,Takeshi Kitano,Bandai Visual Company/ TV Tokyo/ Omnibus Japan/ Warner Bros./ Office Kitano,,Hyogo Prefecture,??? (S?raku-en),34.692735,135.181723,JL-DB/ IMDB,06/10/2012,,,No,,,,
95,,Ultraman Mebius & Ultraman Brothers,Urutoraman mebiusu & urutora ky?dai,??????????&??????,2006,Kazuya Konaka,Tsuburaya Productions ,,Hyogo Prefecture,????? ?????? (Kobe Concerto cruises),34.679835,135.184753,JL-DB/ IMDB,16/09/2006,,,No,,,,
96,,Fly with the gold,?gonwodaitetobe,????????,2012,"	Izuto Kazuyuki", Avex Entertainment/ nkt Entertainment/ Happinet/ Satellite Theater/ Memory Tech/ Dentsu/ Yahoo! JAPAN/ Pia ,,Hyogo Prefecture,??????? (Shinko Building),34.6863372,135.1922809,JL-DB/ Wikipedia,03/11/2012,,,No,,,,
97,,Genome Hazard,Genomuhaz?do,???????,2014,Seong-soo Kim,Lotte Entertainment/ Sovik Global Contents Investment Fund/ Happinet,,Hyogo Prefecture,??????? (Harborland),34.677753,135.178428,,24/01/2014,Japan/South Korea,,No,,,,
98,,Shinjuku Incident,Shinjuku inshidento,????????,2009,Tung-Shing Yee,Emperor Dragon Movies,,Hyogo Prefecture,???? (Mosaic),33.1593783,130.3947171,JL-DB/ IMDB,01/05/2009,Japan/China (Hong Kong),,No,"$15,000,000",,,
